samples_per_class,seeds,generated_total,best_val_accuracy_mean,best_val_accuracy_std,final_val_accuracy_mean,best_val_loss_mean
25,3,150,0.9120370370370371,0.061509643260157,0.8675925925925926,0.25890152523018145
50,3,300,0.987037037037037,0.011564811108145187,0.9027777777777778,0.07319922163065645
100,3,600,0.9731481481481481,0.041697519441472965,0.9574074074074074,0.09523128078864358
